policy,run_dir,checkpoint,branch_index,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost,average_allocation_constraint_1_weight,average_allocation_constraint_2_weight,average_allocation_constraint_1_violation_cost,average_allocation_constraint_2_violation_cost,average_allocation_constraint_raw_cost,average_allocation_constraint_cost
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,0,0.14947545528411865,0.14947534816665642,0.16081018875166012,0.087413489818573,0.0,0.00015608433750458062,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,1,0.530975341796875,0.5309755215481515,0.15535146018585644,0.09077585488557816,0.0,6.885555194457993e-05,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,2,0.4330263137817383,0.43302685565326726,0.13846325025818074,0.09656832367181778,0.0,8.837525092530996e-05,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,3,0.08760368824005127,0.08760313588648483,0.16734391243284524,0.18384359776973724,0.0,0.0004948456189595163,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,4,0.14898502826690674,0.1489838573274722,0.18522176778395202,0.20060935616493225,0.0,0.0007219415274448693,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,5,0.41082799434661865,0.41082858393005783,0.15980920377968827,0.11570247262716293,0.0,7.463467045454308e-05,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,6,0.32407355308532715,0.3240728477117063,0.18017682185773048,0.07283075898885727,0.0,8.718135359231383e-05,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,7,-0.07165950536727905,-0.07165879732152358,0.15582741075453116,0.18077759444713593,0.0,0.0005279076285660267,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,8,0.1696232557296753,0.16962286232238255,0.16214547603341584,0.15762023627758026,0.0,0.0003696641942951828,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
Constrained-neutral baseline,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.1_ppo_unconstrained_none_20260620_144053\seed_0,neutral_action,9,-0.04278242588043213,-0.04278252351021172,0.10419631731093079,0.10807114839553833,0.0,0.00019194908963982016,0.7750000357627869,0.5999999046325684,0.0,0.0,0.0,0.0
